doc_name,fp_prediction
Primary-Lateral-Sclerosis,"('primary lateral sclerosis', 'stiffness of the muscles at the base of the brain', 'produces')"
Jejunal-Atresia,"('""the disorder""', '""the disorder""', 'anaphora')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'triphalangeal thumbs', 'produces')"
Laband-Syndrome,"('laband syndrome and abnormalities of the hands', 'feet', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'enlarged parotids', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('c3 glomerulopathy', 'complement-3 glomerulonephritis', 'is_acron')"
Chromosome-14-Ring,"('""the disorder""', 'episodes of uncontrolled electrical activity in the brain', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'growth retardation', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'pseudobulbar palsy', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('hypoplastic left heart syndrome', 'closely related heart defects', 'is_a')"
Banti_s-Syndrome,"('banti syndrome', 'congenital of such veins', 'produces')"
Acanthosis-Nigricans,"('cancer', 'acanthosis nigricans', 'increases_risk_of')"
Human-Monocytic-Ehrlichiosis-(HME),"('sennetsu fever', 'infectious disease', 'is_a')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'sella turcica', 'produces')"
Primary-Lateral-Sclerosis,"('pls', 'primary lateral sclerosis', 'is_acron')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'absence of breathing', 'produces')"
AP,"('ap-4-hsp', 'developmental delay', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'synophrys', 'produces')"
Arthritis-Infectious,"('tuberculosis', 'infectious arthritis', 'increases_risk_of')"
Chromosome-14-Ring,"('""the disorder"" and abnormalities of the head', 'facial (craniofacial) area', 'produces')"
Jejunal-Atresia,"('""this disorder""', 'inherited the condition', 'is_a')"
Ichthyosis-Lamellar,"('lamellar ichthyosis', '""the disorder""', 'anaphora')"
Buerger_s-Disease,"(""buerger's disease"", '""the disorder""', 'anaphora')"
Berylliosis,"('berylliosis', 'metal poisoning', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'failure to thrive', 'produces')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'mucolipids', 'produces')"
Alpers-Disease,"('alpers disease', 'akinesia', 'produces')"
Creutzfeldt-Jakob-Disease,"('cjd', 'loss of muscle mass', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""the disorder""', 'episodes of mild muscle weakness', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('ccds', 'ccds', 'is_acron')"
Melorheostosis,"('melorheostosis', 'bone abnormalities', 'produces')"
Monilethrix,"('monilethrix', 'hair shafts resemble a string of equally-spaced beads', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('hypoplastic left heart syndrome', 'abnormalities of the aorta', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('""it""', 'metabolic diseases', 'is_a')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'delayed development of motor skills', 'produces')"
Carnosinemia,"('carnosinemia', 'low muscle tone', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('primary central nervous system lymphoma', 'brain tumor', 'is_a')"
Mikulicz-Syndrome,"('lupus', 'mikulicz syndrome', 'increases_risk_of')"
Agenesis-of-Corpus-Callosum,"('acc', '""this condition""', 'anaphora')"
Pseudo-Hurler-Polydystrophy,"('mucolipidosis type iii', '""this disorder""', 'anaphora')"
Fetal-Alcohol-Syndrome,"('fas', '""the disorder""', 'anaphora')"
Agenesis-of-Corpus-Callosum,"('acc', 'agenesis of corpus callosum', 'is_acron')"
Floating-Harbor-Syndrome,"('floating-harbor syndrome', '""these cases""', 'anaphora')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'defective enzyme', 'produces')"
Dejerine,"('""it""', 'absence of reflexes', 'produces')"
Arthritis-Infectious,"('gonococcal arthritis', '""the disorder""', 'increases_risk_of')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('succinic semialdehyde dehydrogenase deficiency', 'inborn error of metabolism', 'is_a')"
Epidermolytic-Ichthyosis,"('ei', 'ichthyosis hystrix', 'produces')"
Carnosinemia,"('carnosinemia', 'intellectual disabilities', 'produces')"
Laband-Syndrome,"('""this disorder""', 'overgrowth of teeth', 'produces')"
Enterobiasis,"('enterobiasis', 'contagious, parasitic infestation', 'is_a')"
Spinocerebellar-Ataxia-with-Axonal-Neuropathy,"('scan1', 'ataxia', 'is_a')"
Alkaptonuria,"('alkaptonuria', 'asymptomatic', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('alveolar soft part sarcoma', 'soft tissue tumor', 'is_a')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'clouding of the corneas of the eyes', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', 'nodular mass', 'produces')"
Acanthosis-Nigricans,"('acanthosis nigricans', 'hyperkeratosis', 'produces')"
Trisomy-9p-(Multiple-Variants),"('trisomy 9p', '""the disorder""', 'anaphora')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'deterioration of the hip joints', 'produces')"
Monilethrix,"('monilethrix and sparse, dry,', '/ or brittle hair', 'produces')"
Alkaptonuria,"('slovakia', 'alkaptonuria', 'increases_risk_of')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'apnea', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', '""it""', 'anaphora')"
Agenesis-of-Corpus-Callosum,"('""this condition""', 'meningomyelocele', 'produces')"
Jejunal-Atresia,"('""the disorder""', 'jejunal atresia', 'produces')"
Creutzfeldt-Jakob-Disease,"('creutzfeldt-jakob disease', 'neurological symptoms', 'produces')"
Acanthosis-Nigricans,"('tumor of the skin', 'acanthosis nigricans', 'increases_risk_of')"
Pediatric-Crohns-Disease,"(""crohn's disease"", '""it""', 'anaphora')"
Alkaptonuria,"('alkaptonuria', 'lack of enough functional levels of an enzyme required to break down homogentisic acid', 'produces')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'duplicated thumbs', 'produces')"
Creutzfeldt-Jakob-Disease,"('""the disease""', 'irregular, rapid, shock-like muscle spasms', 'produces')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome', 'physical abnormalities', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'distinctive malformations of the limbs', 'produces')"
Berylliosis,"('berylliosis', '""the toxic effect""', 'anaphora')"
Duchenne-Muscular-Dystrophy,"('dmd', 'childhood onset muscular dystrophy', 'is_a')"
Kienbock-Disease,"('kienbock disease', '""the disease""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('cjd', 'infection', 'produces')"
Kienbock-Disease,"('kienbock disease', 'stiffness in the overlying tissues', 'produces')"
Kienbock-Disease,"('kienbock disease', 'shortening of the ulna', 'produces')"
Arthritis-Infectious,"('rheumatoid arthritis', 'infectious arthritis', 'increases_risk_of')"
Carnosinemia,"('carnosinemia', 'muscle weakness', 'produces')"
Balo-Disease,"('balo disease', '""it""', 'anaphora')"
Arteriovenous-Malformation,"('avm', '""the avm""', 'anaphora')"
Barakat-Syndrome,"('familial idiopathic hypoparathyroidism', 'hypoparathyroidism', 'is_acron')"
Barakat-Syndrome,"('hypocalcemia', 'low blood calcium', 'produces')"
Elephantiasis,"('elephantiasis', 'gross enlargement of an area of the body', 'produces')"
Glucose,"('""it""', 'watery diarrhea', 'produces')"
Empty-Sella-Syndrome,"('secondary empty sella syndrome', 'empty sella syndrome', 'produces')"
Mixed-Cryoglobulinemia,"('hcv', 'hepatitis c virus', 'is_acron')"
Meningitis-Tuberculous,"('""the disorder""', 'meningitis', 'produces')"
Creutzfeldt-Jakob-Disease,"('""the disease""', 'spongiform encephalopathy', 'produces')"
Retroperitoneal-Fibrosis,"('""this disorder""', '""this disorder""', 'is_a')"
Creutzfeldt-Jakob-Disease,"('cjd', 'athetosis', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'blood clots', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', '""the disorder""', 'anaphora')"
Baller,"('bgs', 'distinctive misshapen appearance of the skull', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'chronic condition', 'is_a')"
Arthritis-Infectious,"('infectious arthritis', '""the disorder""', 'anaphora')"
Laband-Syndrome,"('laband syndrome', 'gums that are too large', 'produces')"
Carnosinemia,"('""this disorder""', 'myoclonus', 'produces')"
Schindler-disease,"('schindler disease', 'abnormal accumulation of oligosaccharides', 'produces')"
Turner-Syndrome,"('turner syndrome', '""it""', 'anaphora')"
Hartnup-Disease,"('slc6a19 hartnup disease', '""the disorder""', 'anaphora')"
Trichothiodystrophy,"('ttd', '""the disorder""', 'anaphora')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', '""this disease""', 'is_a')"
Creutzfeldt-Jakob-Disease,"('cjd', 'muscle weakness', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('dysplasia epiphysealis hemimelica', 'developmental bone disease of childhood', 'is_a')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'poor flow', 'produces')"
Acanthosis-Nigricans,"('acanthosis nigricans', '""the disorder""', 'anaphora')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('""it""', 'fod disease', 'is_a')"
Balo-Disease,"('balo disease', '""the disease""', 'anaphora')"
Jejunal-Atresia,"('""the disorder""', 'malabsorption', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'cerebral palsy', 'produces')"
Meige-Syndrome,"('meige syndrome', 'involuntary muscle contractions of the jaw', 'produces')"
Laband-Syndrome,"('laband syndrome', 'mental retardation', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('""the disease""', 'encephalitis', 'produces')"
Epidermolytic-Ichthyosis,"('infant with ei', 'gradual decrease in blistering', 'produces')"
Barakat-Syndrome,"('hypocalcemia', 'muscle weakness', 'produces')"
Primary-Lateral-Sclerosis,"('primary lateral sclerosis', 'weakness', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'elevated lysosomal enzyme activity in serum', 'produces')"
Soft-Tissue-Sarcoma,"('soft tissue sarcomas', '""this disorder""', 'anaphora')"
Multifocal-Motor-Neuropathy,"('multifocal motor neuropathy', 'muscles atrophy', 'produces')"
Fetal-Valproate-Syndrome,"('vpa and cleft lip', 'palate', 'increases_risk_of')"
Chromosome-14-Ring,"('""the disorder""', 'growth delays', 'produces')"
Kienbock-Disease,"('kienbock disease', 'joint pain', 'produces')"
Fetal-Valproate-Syndrome,"('vpa', 'cardiovascular abnormalities', 'produces')"
Alkaptonuria,"('germany', 'alkaptonuria', 'increases_risk_of')"
Laband-Syndrome,"('laband syndrome', 'overgrow gums', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('succinic semialdehyde dehydrogenase deficiency', 'abnormal accumulation of gaba', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""the disorder""', 'permanent muscle weakness', 'produces')"
Arthritis-Infectious,"('staphylococcal arthritis', '""the disorder""', 'increases_risk_of')"
Jejunal-Atresia,"('""this disorder""', 'twisting around one of the arteries of the colon', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'autism', 'produces')"
Baller,"('bgs and bones of the forearms', 'hands', 'produces')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'distinctive facial appearance', 'produces')"
Agenesis-of-Corpus-Callosum,"('acc', '""it""', 'anaphora')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'weight', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('""it""', 'multiple nodules', 'produces')"
Alkaptonuria,"('dominican republic', 'alkaptonuria', 'increases_risk_of')"
Meige-Syndrome,"('meige syndrome', 'involuntary muscle contractions of the tongue', 'produces')"
Laband-Syndrome,"('laband dysplasia', 'absent nails', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'heart disease', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'excess anesthetic agent', 'produces')"
Glucose,"('ggm', 'glucose-galactose malabsorption', 'is_acron')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'hyperviscosity', 'produces')"
Arthritis-Infectious,"('mycobacterium tuberculosis', 'infectious arthritis', 'increases_risk_of')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'weakness', 'produces')"
Mixed-Cryoglobulinemia,"('hcv', '""the disorder""', 'anaphora')"
Subacute-Sclerosing-Panencephalitis,"('""the disease""', 'involuntary muscle movements', 'produces')"
Alagille-Syndrome,"('alagille syndrome', 'distinctive facial features', 'produces')"
Alagille-Syndrome,"('alagille syndrome', 'thickening of the ring that normally lines the cornea in the eye', 'produces')"
Buerger_s-Disease,"('""it"" and pain of the lower arms', 'legs', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'mild mental retardation', 'produces')"
Melorheostosis,"('melorheostosis', '""the disease""', 'anaphora')"
Alveolar-Soft-Part-Sarcoma,"('asps', 'tumor', 'produces')"
Cat-Eye-Syndrome,"('""this defect""', 'cleft or gap in the iris below the pupil', 'produces')"
Duchenne-Muscular-Dystrophy,"('dmd', 'muscular dystrophies', 'is_a')"
Ovotesticular-Disorder-of-Sex-Development,"('ovotesticular disorder of sex development', '""the disorder of sex development""', 'anaphora')"
Myopathy-Congenital-Batten-Turner-Type,"('batten turner type congenital myopathy', '""the disease""', 'anaphora')"
Arteriovenous-Malformation,"('""they""', 'brain avm', 'produces')"
Ewing-Sarcoma,"('primitive neuroectodermal tumor', 'tumors of the pelvis', 'is_synon')"
Ichthyosis-Lamellar,"('lamellar ichthyosis', 'skin cells are produced at a normal rate', 'produces')"
Antiphospholipid-Syndrome,"('antiphospholipid syndrome', '""it""', 'anaphora')"
Elephantiasis,"('elephantiasis', 'accumulation of lymph', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('batten turner type congenital myopathy', 'floppiness at birth', 'produces')"
Barakat-Syndrome,"('hypocalcemia', 'nephrotic syndrome', 'produces')"
Ichthyosis-Lamellar,"('lamellar ichthyosis and scale. the relationship between lamellar ichthyosis', '""it""', 'anaphora')"
Epidermolytic-Ichthyosis,"('ei', 'reddish skin', 'produces')"
Arthritis-Infectious,"('malaria', 'infectious arthritis', 'increases_risk_of')"
Monilethrix,"('monilethrix', 'hair loss', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'microcephaly', 'produces')"
Mikulicz-Syndrome,"('leukemia', 'mikulicz syndrome', 'increases_risk_of')"
Buerger_s-Disease,"(""buerger's disease"", 'peripheral vascular disease', 'produces')"
Balo-Disease,"('infectious disease', 'balo disease', 'increases_risk_of')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('""the disorder""', 'elevated levels of ghb in the urine', 'produces')"
Dejerine,"('""it""', 'pain', 'produces')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'clinodactyly', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'weakness', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('complement-mediated renal diseases', ""dense' sausage-like 'deposits"", 'produces')"
Buerger_s-Disease,"('""it""', 'cramping in the legs', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'low-set ears', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'autistic like behaviors', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'obstruction', 'produces')"
Agenesis-of-Corpus-Callosum,"('acc', 'mental retardation', 'produces')"
Creutzfeldt-Jakob-Disease,"('cjd', 'coma', 'produces')"
Laband-Syndrome,"('laband syndrome', 'gingival fibromatosis', 'produces')"
Empty-Sella-Syndrome,"('empty sella syndrome', '""it""', 'anaphora')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'stumbling', 'produces')"
Glucose,"('glucose-galactose malabsorption', '""the disorder""', 'anaphora')"
Lichen-Sclerosus,"('""it""', 'squamous cell carcinoma', 'produces')"
Fibrous-Dysplasia,"('fd', 'fibrous dysplasia', 'is_acron')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('vlcadd', '""the disorder""', 'anaphora')"
Chromosome-14-Ring,"('chromosome 14 ring', 'ocular hypertelorism', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'stiffness of the muscles of the legs', 'produces')"
Dup15q-Syndrome,"('dup15q', 'chromosome (cytogenetic) anomalies', 'is_a')"
Mixed-Cryoglobulinemia,"('mixed cryoglobulinemia', '""the disorder""', 'anaphora')"
Subacute-Sclerosing-Panencephalitis,"('sspe', 'subacute sclerosing panencephalitis', 'anaphora')"
Arteriovenous-Malformation,"('brain avm', '""these conditions""', 'anaphora')"
Chromosome-9-Ring,"('""the chromosomal abnormality"" and malformations of the skull', 'facial (craniofacial) region', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", 'low red blood cells', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('batten turner type congenital myopathy', 'myopathy', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('hypoplastic left heart syndrome', 'abnormalities of the pulmonary artery', 'produces')"
Kienbock-Disease,"('kienbock disease', 'deterioration, fragmentation or compression of the affected bone', 'produces')"
Barakat-Syndrome,"('hypocalcemia', 'hematuria', 'produces')"
Barakat-Syndrome,"('hypocalcemia', 'proteinuria', 'produces')"
Alagille-Syndrome,"('alagille syndrome', 'congenital heart defects', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'cornelia de lange syndrome', 'is_acron')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'excessive numbers of b lymphocytes', 'produces')"
Multifocal-Motor-Neuropathy,"('multifocal motor neuropathy', 'muscles cramps', 'produces')"
Barakat-Syndrome,"('hypocalcemia', 'kidney disease', 'produces')"
Schindler-disease,"('schindler disease', 'globoid cells in the skin', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'portal veins', 'produces')"
Arteriovenous-Malformation,"('brain avm', '""they""', 'anaphora')"
Agenesis-of-Corpus-Callosum,"('""it""', 'partial or complete absence (agenesis) of a portion of the brain that is normally composed of transverse fibers', 'produces')"
Multifocal-Motor-Neuropathy,"('multifocal motor neuropathy', 'inflammation', 'produces')"
Lichen-Sclerosus,"('""it""', 'inflammation', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('succinic semialdehyde dehydrogenase deficiency', 'deficiency of the activity of the ssadh enzyme', 'produces')"
Mandibuloacral-Dysplasia,"('mandibuloacral dysplasia type a', '""the disorder""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'malformations of the eyes', 'produces')"
Cat-Eye-Syndrome,"('""this defect""', 'ocular abnormality', 'produces')"
Agenesis-of-Corpus-Callosum,"('""it""', 'brain', 'produces')"
Alkaptonuria,"('alkaptonuria', 'progressive arthritis', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', 'abnormal growth of cartilage', 'produces')"
AP,"('ap-4-hsp', 'intellectual disability', 'produces')"
Alpers-Disease,"('alpers disease', 'hypotonia', 'produces')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'coronal', 'produces')"
Cystic-Fibrosis,"('cftr', 'cystic fibrosis', 'is_acron')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'isolated pituitary gland', 'produces')"
Monilethrix,"('monilethrix', 'hair may break before reaching more than a few inches in length', 'produces')"
Creutzfeldt-Jakob-Disease,"('cjd', 'irregular, rapid, shock-like muscle spasms', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'flat nasal bridge with a prominent nasal tip', 'produces')"
Agenesis-of-Corpus-Callosum,"('""this condition""', 'spina bifida', 'produces')"
Fetal-Alcohol-Syndrome,"('mental retardation', 'mental retardation', 'produces')"
Dup15q-Syndrome,"('dup15q', '""it""', 'anaphora')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'mild to moderate coarseness of facial features', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'slow, progressive loss of muscle tone', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('ddd', 'complement-mediated renal diseases', 'is_a')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'narrow, sloping pelvis', 'produces')"
Laband-Syndrome,"('""this disorder""', 'gums that are too large', 'produces')"
Arteriovenous-Malformation,"('""they""', 'lesions', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('c3g', 'c3g', 'is_synon')"
Barakat-Syndrome,"('hypocalcemia', '""this syndrome""', 'anaphora')"
Alkaptonuria,"('alkaptonuria', 'spine arthritis', 'produces')"
Chromosome-14-Ring,"('""the disorder""', 'mental retardation', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('hypoplastic left heart syndrome', 'abnormalities of the left ventricle', 'produces')"
Ewing-Sarcoma,"('ewing sarcoma', 'bone tumor', 'produces')"
Baller,"('bgs', 'distinctive facial (craniofacial) area', 'produces')"
Creutzfeldt-Jakob-Disease,"('cjd', '""the disease""', 'anaphora')"
Banti_s-Syndrome,"('banti syndrome', 'inflammation', 'produces')"
Alport-Syndrome,"('alport syndrome', 'end-stage renal disease', 'produces')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'abnormal eyes', 'produces')"
Dejerine,"('""it""', 'muscle weakness', 'produces')"
