doc_name,fp_prediction
Fetal-Valproate-Syndrome,"('fvs and cleft lip', 'palate', 'produces')"
Ichthyosis-Lamellar,"('lamellar ichthyosis', '""the formation of scales""', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('pcnsl', '""this""', 'anaphora')"
Dup15q-Syndrome,"('dup15q', 'intellectual disability', 'produces')"
Alkaptonuria,"('alkaptonuria', '""this condition""', 'anaphora')"
Alagille-Syndrome,"('alagille syndrome', 'vertebral (back bone) differences', 'produces')"
Glucose,"(""glucose-galactose malabsorption and small intestine's inability to absorb"", 'absorb glucose', 'produces')"
Schindler-disease,"('type i schindler disease', 'schindler disease', 'is_a')"
Schindler-disease,"('type iii schindler disease', 'schindler disease', 'is_a')"
Epidermolytic-Ichthyosis,"('infant with ei and red, blistering', 'denuded skin', 'produces')"
AP,"('ap-4-hsp', '""the disorder""', 'anaphora')"
Baller,"('bgs', 'distinctive appearance', 'produces')"
Buerger_s-Disease,"('""it""', 'limping', 'produces')"
Arteriovenous-Malformation,"('arteriovenous malformation', '""they""', 'anaphora')"
Trichothiodystrophy,"('ttd and bone', 'teeth abnormalities', 'produces')"
Carnosinemia,"('carnosinemia', 'motor delays', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'mild to moderate intellectual disabilities', 'produces')"
Leukodystrophy,"('""each type of leukodystrophy""', 'demyelination', 'produces')"
West-Syndrome,"('west syndrome', 'epilepsy', 'produces')"
Barakat-Syndrome,"('hypocalcemia', 'convulsions', 'produces')"
Alpers-Disease,"('alpers disease', 'cirrhosis', 'produces')"
Creutzfeldt-Jakob-Disease,"('cjd', 'myoclonus', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'large, low-set ears', 'produces')"
Alport-Syndrome,"('alport syndrome', 'chronic kidney disease', 'produces')"
Multifocal-Motor-Neuropathy,"('multifocal motor neuropathy', 'abnormal functioning of the immune system', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""the disorder""', '""the disorder""', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'mental retardation', 'produces')"
Alkaptonuria,"('alkaptonuria', 'accumulation of homogentisic acid in the body', 'produces')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'malformations of the hands', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('ddd', 'glomerular disease', 'is_a')"
Lichen-Sclerosus,"('lichen sclerosus', '""the disease""', 'anaphora')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", '""the disorder""', 'anaphora')"
Chromosome-14-Ring,"('""the disorder""', 'psychomotor delays', 'produces')"
Acanthosis-Nigricans,"('acanthosis nigricans', 'hyperpigmentation', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'heart defects', 'produces')"
Cystic-Fibrosis,"('cftr', 'pancreatic insufficiency', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'fall', 'produces')"
Arthritis-Infectious,"('dengue', 'infectious arthritis', 'increases_risk_of')"
Mikulicz-Syndrome,"('mikulicz syndrome and abnormal enlargement of glands in the head', 'neck', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'intellectual disability', 'produces')"
Agenesis-of-Corpus-Callosum,"('""it""', 'agenesis of corpus callosum', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('""this disorder""', '""this disorder""', 'anaphora')"
Alpers-Disease,"('alpers disease', 'increased density of the grey matter in the brain', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'painful swelling of one or more joints', 'produces')"
Laband-Syndrome,"('laband syndrome', 'overgrowth of teeth', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('deh', '""it""', 'anaphora')"
Meningitis-Tuberculous,"('miliary tuberculosis', 'tuberculous meningitis', 'is_synon')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", '""this disorder""', 'anaphora')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'blood is thick', 'produces')"
Primary-Lateral-Sclerosis,"('motor neuron diseases', '""the disorder""', 'anaphora')"
Balo-Disease,"('balo disease', 'slowly onset of symptoms', 'produces')"
Dup15q-Syndrome,"('dup15q', 'asd', 'produces')"
Antiphospholipid-Syndrome,"('aps', 'deep vein thrombosis', 'produces')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'prenatal growth retardation', 'produces')"
Cystic-Fibrosis,"('cftr', 'pulmonary disease', 'produces')"
Alpers-Disease,"('alpers disease', 'blindness', 'produces')"
Jejunal-Atresia,"('""this disorder""', 'constipation.', 'produces')"
AP,"('ap-4-hsp', 'seizures', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('complement-mediated renal diseases', 'dense deposit disease', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'mechanical ventilation', 'produces')"
Carnosinemia,"('carnosinemia', 'inborn error of metabolism', 'produces')"
Barakat-Syndrome,"('hypocalcemia', 'tetany', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'physical features', 'produces')"
Banti_s-Syndrome,"('banti syndrome and obstruction of,', 'prematurely destroy blood cells before birth', 'produces')"
Schindler-disease,"('type ii schindler disease', 'schindler disease', 'is_a')"
Monilethrix,"('monilethrix', 'papules surrounding the hair follicles', 'produces')"
Laband-Syndrome,"('laband syndrome', 'long, thin toes', 'produces')"
Leukodystrophy,"('""each type of leukodystrophy""', 'abnormal development or destruction of the myelin sheath', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'genital abnormalities', 'produces')"
Primary-Lateral-Sclerosis,"('primary lateral sclerosis', 'painless but progressive weakness of the muscles of the legs', 'produces')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'partial empty sella', 'produces')"
Creutzfeldt-Jakob-Disease,"('creutzfeldt-jakob disease', 'neuromuscular symptoms', 'produces')"
Arthritis-Infectious,"('autoimmune disorders', 'infectious arthritis', 'increases_risk_of')"
Cat-Eye-Syndrome,"('cat eye syndrome', '""this defect""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('creutzfeldt-jakob disease', 'dementia', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'hypotonia', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'painful swelling', 'produces')"
Alkaptonuria,"('""the disorder""', 'alkaptonuria', 'increases_risk_of')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'paralysis of the muscles of the face', 'produces')"
Ameloblastic-Carcinoma,"('ameloblastic carcinoma', '""it""', 'anaphora')"
Gitelman-Syndrome,"('gitelman syndrome', '""these disorders""', 'anaphora')"
Arthritis-Infectious,"('infectious arthritis', 'headaches', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('""it""', 'painless mass', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'global developmental delays', 'produces')"
Empty-Sella-Syndrome,"('primary empty sella syndrome', '""the disorder""', 'anaphora')"
Leukodystrophy,"('""each type of leukodystrophy""', 'neurological problems', 'produces')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'malformations of the arms', 'produces')"
Kienbock-Disease,"('kienbock disease', '""it""', 'anaphora')"
Arthritis-Infectious,"('streptococcal arthritis', '""the disorder""', 'increases_risk_of')"
Anemia-Hereditary-Nonspherocytic-Hemolytic,"('hereditary nonspherocytic hemolytic anemia', 'genetic transmitted blood disorders', 'is_a')"
Kienbock-Disease,"('kienbock disease and thickening, swelling', 'tenderness in soft tissue overlying the lunate bone', 'produces')"
Mikulicz-Syndrome,"(""hodgkin's disease"", 'mikulicz syndrome', 'increases_risk_of')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'chest movements', 'produces')"
Kienbock-Disease,"('kienbock disease', 'recurrent pain in the wrist', 'produces')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome and malformations of the skull', 'facial (craniofacial) region', 'produces')"
Lichen-Sclerosus,"('balanitis xerotica obliterans', 'lichen sclerosus', 'is_synon')"
West-Syndrome,"('west syndrome', 'intellectual disabilities', 'produces')"
Alkaptonuria,"('""the disorder""', 'progressive arthritis', 'produces')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'clavicles', 'produces')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'flat feet', 'produces')"
Kienbock-Disease,"('""it""', 'osteoarthritis of the wrist', 'produces')"
Multifocal-Motor-Neuropathy,"('multifocal motor neuropathy', 'specific autoantibodies that target a specific protein in the body', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('complement-mediated renal diseases', 'gbm deposits', 'produces')"
Trichothiodystrophy,"('tttd', 'tiger-tail pattern', 'produces')"
Heart-Block-Congenital,"('congenital heart block', 'interference with the conduction of electrical nerve impulses', 'produces')"
Primary-Lateral-Sclerosis,"('primary lateral sclerosis', 'stiffness of the muscles of the arms', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'growth', 'produces')"
Leukodystrophy,"('leukodystrophies', '""these disorders""', 'anaphora')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'accumulation of mucopolysaccharides', 'produces')"
Jejunal-Atresia,"('""this disorder""', 'partial absence of the fold of the stomach membrane', 'produces')"
Creutzfeldt-Jakob-Disease,"('""the disease""', 'loss of muscle mass', 'produces')"
Balo-Disease,"('balo disease and paralysis. the relationship between balo disease', 'neurological symptoms', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'chills', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'accumulation of b lymphocytes in the body', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", 'low platelet counts', 'produces')"
West-Syndrome,"('west syndrome', '""these symptoms""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('""the disorder"" and prominent vertical groove between the upper lip', 'nose', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'obstruction of veins of the liver', 'produces')"
AP,"('ap-4-hsp', 'spasticity', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'abnormalities present at birth', 'produces')"
Alpers-Disease,"('alpers disease', 'progressive neurologic disorder', 'is_a')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'absence of the anal opening', 'produces')"
Alpers-Disease,"('alpers disease', 'neurological signs', 'produces')"
Antiphospholipid-Syndrome,"('aps', 'stroke', 'produces')"
Ovotesticular-Disorder-of-Sex-Development,"('ovotesticular disorder of sex development', '""it""', 'anaphora')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'delayed closure of the soft spot on the head', 'produces')"
Monilethrix,"('monilethrix', 'elevated spots (papules) surrounding the hair follicles', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('subacute sclerosing panencephalitis', 'progressive neurological disorder', 'is_a')"
Laband-Syndrome,"('laband syndrome and abnormalities of the head', 'facial (craniofacial) area', 'produces')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'completely empty sella', 'produces')"
Hartnup-Disease,"('slc6a19 hartnup disease', '""it""', 'anaphora')"
Kienbock-Disease,"('kienbock disease', 'stiffness in the wrist', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls and low hairline on the forehead', 'the back of the neck', 'produces')"
Arthritis-Infectious,"('infectious arthritis', 'fever', 'produces')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'fatty substances', 'produces')"
Antiphospholipid-Syndrome,"('aps', 'primary antiphospholipid syndrome', 'is_acron')"
Laband-Syndrome,"('laband syndrome', 'long, thin fingers', 'produces')"
Alagille-Syndrome,"('omim 118450', 'alagille syndrome', 'is_acron')"
Banti_s-Syndrome,"('banti syndrome', 'hypertension', 'produces')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'short third toe', 'produces')"
Laband-Syndrome,"('""this disorder""', 'congenital gingival fibromatosis', 'produces')"
Ewing-Sarcoma,"('eft', 'ewing sarcoma of bone', 'is_acron')"
Schindler-disease,"('schindler disease', '""the disease""', 'anaphora')"
Binder-Type-Nasomaxillary-Dysplasia,"('binder type nasomaxillary dysplasia', '""it""', 'anaphora')"
Dejerine,"('""it""', 'muscle loss', 'produces')"
Gitelman-Syndrome,"('gitelman syndrome', '""the disease""', 'anaphora')"
Myopathy-Congenital-Batten-Turner-Type,"('""the disorder""', 'mild muscle weakness', 'produces')"
Schindler-disease,"('schindler disease', 'accumulation of certain complex compounds', 'produces')"
Mikulicz-Syndrome,"('sjogren syndrome', '""the disorder""', 'anaphora')"
Hypoplastic-Left-Heart-Syndrome,"('""this disorder""', 'congenital heart defects', 'is_a')"
Chromosome-6-Partial-Trisomy-6q,"('chromosome 6, partial trisomy 6q', '""the disorder""', 'anaphora')"
Alagille-Syndrome,"('alagille syndrome', 'posterior embryotoxon', 'produces')"
Mikulicz-Syndrome,"('tuberculosis', 'mikulicz syndrome', 'increases_risk_of')"
Meningitis-Tuberculous,"('tbm', 'meningitis', 'produces')"
Dup15q-Syndrome,"('dup15q', 'developmental delay', 'produces')"
Arteriovenous-Malformation,"('arteriovenous malformation', 'vascular lesion', 'is_a')"
Subacute-Sclerosing-Panencephalitis,"('""the disease""', 'seizures', 'produces')"
Potter-Syndrome,"('""this condition""', 'bilateral renal agenesis', 'produces')"
Epidermolytic-Ichthyosis,"('infant with ei', 'skin thickening', 'produces')"
Meige-Syndrome,"('""the disorder""', 'meige syndrome', 'is_a')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'enlargement or malformation of a structure in the skull', 'produces')"
Barakat-Syndrome,"('progressive sensorineural deafness', 'renal disease', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'decreased lysosomal enzyme levels in white blood cells', 'produces')"
Epidermolytic-Ichthyosis,"('infant with ei', 'increase in the severity of the scaling', 'produces')"
Glucose,"('glucose-galactose malabsorption', '""it""', 'anaphora')"
Mikulicz-Syndrome,"('sjogren syndrome', 'mikulicz syndrome', 'increases_risk_of')"
Subacute-Sclerosing-Panencephalitis,"('""the disease""', 'behavioral changes', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', '""the drug""', 'anaphora')"
West-Syndrome,"('epileptic spasms', '""these spasms""', 'anaphora')"
Banti_s-Syndrome,"('banti syndrome', 'aged red blood cells', 'produces')"
Leukodystrophy,"('""these disorders""', 'spasticity', 'produces')"
Cystic-Fibrosis,"('cftr', 'positive family history', 'produces')"
Retroperitoneal-Fibrosis,"('idiopathic', 'retroperitoneal fibrosis', 'is_acron')"
Trichothiodystrophy,"('ttd', ""reduced sulfur in patient's hair"", 'produces')"
Ewing-Sarcoma,"('primitive neuroectodermal tumor', 'tumors of the chest wall', 'is_synon')"
Hypoplastic-Left-Heart-Syndrome,"('""this disorder""', 'abnormalities of the heart', 'produces')"
Antiphospholipid-Syndrome,"('aps', 'recurrent pregnancy loss', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'growth retardation', 'produces')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'deformed thoracic region', 'produces')"
Retroperitoneal-Fibrosis,"('retroperitoneal fibrosis', 'fibrosis', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'growth delays', 'produces')"
Jejunal-Atresia,"('""this disorder""', '""the disease""', 'anaphora')"
Carnosinemia,"('carnosinemia', 'low activity of carnosinase', 'produces')"
Arthritis-Infectious,"('dengue', '""the disorder""', 'anaphora')"
Kienbock-Disease,"('kienbock disease', 'abnormalities of the lunate bone', 'produces')"
Monilethrix,"('monilethrix', 'hair shaft resembling a string of equally-spaced beads', 'produces')"
Carnosinemia,"('""this disorder""', 'seizures', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('succinic semialdehyde dehydrogenase deficiency', 'accumulation of the compound succinic semialdehyde', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'decreased lysosomal enzyme levels in fibroblasts', 'produces')"
Leukodystrophy,"('""these disorders""', 'motor difficulties', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'central apnea', 'produces')"
Fetal-Valproate-Syndrome,"('vpa', 'neural tube defects', 'increases_risk_of')"
Dejerine,"('dss', '""it""', 'anaphora')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", 'malignant disorder of the bone marrow', 'produces')"
Alkaptonuria,"('alkaptonuria', 'hgd gene', 'produces')"
Alagille-Syndrome,"('alagille syndrome', 'heart murmurs', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'high forehead', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'easy fatigability', 'produces')"
Arteriovenous-Malformation,"('vascular lesions', '""these conditions""', 'anaphora')"
Barakat-Syndrome,"('progressive sensorineural deafness', 'developmental delay', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'upper airway apnea', 'produces')"
Carnosinemia,"('carnosinemia', 'high levels of carnosine', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('""the disorder""', 'elevated levels of ghb in the csf', 'produces')"
Alagille-Syndrome,"('""the disorder""', 'severe itching', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'floppiness', 'produces')"
Pseudocholinesterase-Deficiency,"('""the disorder""', 'respiratory muscles paralyzed', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'paralysis of the muscles of the arms', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'weakness', 'produces')"
Carnosinemia,"('carnosinemia', 'developmental retardation', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('batten turner type congenital myopathy', 'inherited muscle disease', 'is_a')"
Banti_s-Syndrome,"('banti syndrome', 'hepatic veins', 'produces')"
Buerger_s-Disease,"(""buerger's disease"", 'inflammation', 'produces')"
Human-Monocytic-Ehrlichiosis-(HME),"('hme', '""the disorders""', 'anaphora')"
Protein-S-Deficiency,"('pros1 protein s deficiency', '""the disorder""', 'anaphora')"
Alkaptonuria,"('alkaptonuria', 'joint pain', 'produces')"
West-Syndrome,"('""these symptoms""', 'seizures', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', 'bone marrow lesions', 'produces')"
Buerger_s-Disease,"(""buerger's disease"", 'clotting of certain veins', 'produces')"
Dejerine,"('""it""', 'loss of heat sensitivity', 'produces')"
Chromosome-9-Ring,"('chromosome 9 ring', '""the chromosomal abnormality""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('cjd', 'spongiform encephalopathy', 'produces')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'postnatal growth retardation', 'produces')"
Chromosome-6-Partial-Trisomy-6q,"('chromosome 6, partial trisomy 6q and malformations of the skull', 'facial (craniofacial) region', 'produces')"
Dup15q-Syndrome,"('dup15q', 'multiple congenital anomalies', 'produces')"
Buerger_s-Disease,"('""it"" and occlusion of the veins', 'arteries of the extremities', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'red blood cells before birth', 'produces')"
Carnosinemia,"('carnosinemia', 'anserine', 'produces')"
Elephantiasis,"('elephantiasis', '""this condition""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', '""this genetic disorder""', 'anaphora')"
Chromosome-14-Ring,"('chromosome 14 ring', 'thin upper lip', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('""this disorder""', 'hypoplasia left heart syndrome', 'produces')"
Balo-Disease,"('balo disease', 'autoimmune disorders', 'increases_risk_of')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'bleeding', 'produces')"
Buerger_s-Disease,"(""buerger's disease"", 'thrombosis', 'produces')"
Creutzfeldt-Jakob-Disease,"('creutzfeldt-jakob disease', 'spongiform encephalopathy', 'produces')"
Arthritis-Infectious,"('leishmaniasis', 'infectious arthritis', 'increases_risk_of')"
Leukodystrophy,"('leukodystrophies', '""each type of leukodystrophy""', 'anaphora')"
Heart-Block-Congenital,"('congenital heart block', '""this disorder""', 'anaphora')"
Human-Monocytic-Ehrlichiosis-(HME),"('human monocytic ehrlichiosis', '""these diseases""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('cdls', 'thin, downturned lips', 'produces')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'overlapping toes', 'produces')"
Hyperferritinemia-Cataract-Syndrome,"('hyperferritinemia-cataract syndrome', 'cataracts', 'produces')"
Agenesis-of-Corpus-Callosum,"('""this condition""', 'meningocele', 'produces')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome', 'physical malformations', 'produces')"
Alpers-Disease,"('alpers disease', 'muscle weakness', 'produces')"
Creutzfeldt-Jakob-Disease,"('cjd and progressive loss of physical', 'intellectual functions', 'produces')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome', 'mental retardation', 'produces')"
Cat-Eye-Syndrome,"('""this defect""', 'elongated pupil', 'produces')"
